               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.097979,            0.040082,            0.026621,             0.34132,             0.17484,             0.24634,             0.08765,            0.070329,            0.030941,            0.020129,              0.0704,           0.0032889,           0.0032889
                   1,            0.072914,            0.032295,            0.023331,             0.11127,               0.367,             0.20843,            0.064026,            0.059969,            0.024737,            0.018545,            0.039744,           0.0059666,           0.0059666
                   2,            0.066627,            0.028119,            0.021719,             0.72944,             0.26601,             0.32779,             0.12048,            0.058919,            0.020446,            0.016473,           0.0084288,           0.0079844,           0.0079844
                   3,            0.062834,            0.024639,            0.018724,             0.40205,             0.67979,             0.54962,             0.21144,            0.044837,            0.019502,            0.012598,             0.00703,             0.00703,             0.00703
                   4,             0.05755,            0.022573,            0.014987,             0.50567,             0.67559,              0.5579,              0.2378,            0.044298,            0.018071,             0.01134,             0.00703,             0.00703,             0.00703
                   5,            0.048414,            0.020757,             0.01168,             0.53554,             0.72575,              0.5889,             0.27332,            0.037865,            0.016766,            0.011157,             0.00604,             0.00604,             0.00604
                   6,            0.043621,            0.021289,           0.0089383,             0.64593,             0.74565,              0.7303,             0.37294,            0.037469,             0.01622,           0.0080298,             0.00505,             0.00505,             0.00505
                   7,            0.040538,            0.019288,           0.0075012,             0.68142,             0.78997,             0.75141,             0.41411,            0.031735,            0.015999,           0.0082149,             0.00406,             0.00406,             0.00406
                   8,            0.036767,            0.018668,           0.0068995,              0.6635,             0.83821,             0.77569,             0.42376,            0.031403,            0.015755,           0.0071917,             0.00307,             0.00307,             0.00307
                   9,            0.034618,             0.01949,           0.0062276,             0.68846,             0.80845,              0.7776,             0.47163,            0.028578,            0.015623,           0.0067003,             0.00208,             0.00208,             0.00208
